seqs,preds,method
"['ManOMe', 'a1-2', 'Man', 'a1-2', 'Man', '1-1', '1dEry-ol', '1-1', '1-1', '1-1', '1-1']",3.8981375e-06,Mutated-Random
"['RhaOS', 'a1-3', 'Man', 'b1-4', 'RhaOS', '1-1', '1-1', '1-1', '2,5-Anhydro-Man', '1-1', '1-1']",0.0002680834,Mutated-Random
"['Glc', 'b1-4', 'Rha', 'a1-2', '2,5-Anhydro-Man', 'a1-3', 'Gal', 'b1-4', 'Glc', 'b1-4', 'Glc']",1.54476e-05,Mutated-Random
"['RhaOS', 'a1-3', 'Man', '2,5-Anhydro-Man', 'RhaOS', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",0.0013114685,Mutated-Random
"['GalfOAc', 'b1-4', 'GlcA', 'b1-3', 'GalfOAc', '1-1', '1-1', '1-1', '1-1', '1-5', '1-1']",9.90576e-06,Mutated-Random
"['1-2', 'b1-4', 'QuiNAc', 'b1-3', '6dTalOAc', 'a1-3', 'D-FucNAc', '1-1', '1-1', '1-1', '1-1']",8.100762e-06,Mutated-Random
"['Man', 'a1-2', 'Man', 'a1-6', 'Man', 'a1-3', 'Man', 'a1-6', '1-3', 'a1-2', 'Man']",5.271434e-06,Mutated-Random
"['ManOAc', 'a1-2', 'Man', 'a1-4', 'ManOAc', '1-1', '1-1', '1-1', '1-3', '1-1', '1-1']",3.6967783e-06,Mutated-Random
"['Glc', '1-6', 'Glc', 'a1-3', 'GlcOMe', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",0.00020476185,Mutated-Random
"['D-Araf', 'b1-3', 'D-Araf', 'b1-5', 'D-Araf', '1-1', '1-6', '1-1', '1-1', '1-1', '1-1']",7.314471e-05,Mutated-Random
"['Man', 'a1-3', 'Man', '1dEry-ol', 'Man', 'a1-3', 'Man', 'b1-4', 'GlcNAc', 'b1-4', 'GlcNAc']",8.1100356e-05,Mutated-Random
"['Glc', 'a1-3', 'Glc', 'a1-3', 'GlcOMe', '1-1', '1-1', '1-1', '1-1', '1-3', '1-1']",3.8595917e-06,Mutated-Random
"['Glc', 'b1-3', 'Glc', 'b1-2', '1-1', 'a1-4', 'Glc', '1-1', '1-1', '1-1', '1-1']",4.8330057e-06,Mutated-Random
"['Glc', 'b1-6', 'Glc', 'b1-3', 'Glc', '1-1', '1-6', '1-1', '1-1', '1-1', '1-1']",4.0492164e-06,Mutated-Random
